,filed,company_name,end,unit,form,frame,cik,Revenue - Total Revenue,Cost - Total Cost of Revenue,Operating Expenses - Sales and Marketing,Operating Expenses - General and Administrative,"Operating Expenses - Selling, General and Administrative",Operating Expenses - Amortization of Intangible Assets,Operating - Operating Income,Other - Interest Income,Other - Interest Expense,Other - Foreign Currency Transaction Gain/Loss,"Other - Other Income/Expense, Net",Tax - Income Tax Expense/Benefit,Net Income - Net Income,EPS - Basic EPS,EPS - Diluted EPS,Gross - Gross Profit (calculated),Income Before Tax - Income Before Income Taxes (calculated)
48,2019-04-26,"AMAZON.COM, INC.",2018-03-31,USD,10-Q,CY2017,1018724,51042000000.0,30735000000.0,2699000000.0,1067000000.0,1067000000.0,,1927000000.0,80000000.0,330000000.0,,-11000000.0,287000000.0,1629000000.0,3.36,3.27,20307000000.0,1916000000.0
52,2019-02-01,"AMAZON.COM, INC.",2018-12-31,USD,10-K,CY2018,1018724,232887000000.0,139156000000.0,13814000000.0,4336000000.0,4336000000.0,475000000.0,12421000000.0,440000000.0,1417000000.0,-206000000.0,-1160000000.0,1197000000.0,10073000000.0,20.68,20.14,93731000000.0,11261000000.0
53,2019-04-26,"AMAZON.COM, INC.",2019-03-31,USD,10-Q,CY2019Q1,1018724,59700000000.0,33920000000.0,3664000000.0,1173000000.0,1173000000.0,,4420000000.0,183000000.0,366000000.0,,-19000000.0,836000000.0,3561000000.0,7.24,7.09,25780000000.0,4401000000.0
55,2019-07-26,"AMAZON.COM, INC.",2019-06-30,USD,10-Q,CY2019Q2,1018724,63404000000.0,36337000000.0,4291000000.0,1270000000.0,1270000000.0,,3084000000.0,215000000.0,383000000.0,,-195000000.0,257000000.0,2625000000.0,5.32,5.22,27067000000.0,2889000000.0
56,2019-10-25,"AMAZON.COM, INC.",2019-09-30,USD,10-Q,CY2019Q3,1018724,69981000000.0,41302000000.0,4752000000.0,1348000000.0,1348000000.0,,3157000000.0,224000000.0,396000000.0,,-525000000.0,494000000.0,2134000000.0,4.31,4.23,28679000000.0,2632000000.0
57,2020-01-31,"AMAZON.COM, INC.",2019-12-31,USD,10-K,CY2019,1018724,280522000000.0,165536000000.0,18878000000.0,5203000000.0,5203000000.0,565000000.0,14541000000.0,832000000.0,1600000000.0,-20000000.0,-565000000.0,2374000000.0,11588000000.0,23.46,23.01,114986000000.0,13976000000.0
58,2021-04-30,"AMAZON.COM, INC.",2020-03-31,USD,10-Q,CY2019,1018724,75452000000.0,44257000000.0,4828000000.0,1452000000.0,1452000000.0,,3989000000.0,202000000.0,402000000.0,-222000000.0,-606000000.0,744000000.0,2535000000.0,5.09,5.01,31195000000.0,3383000000.0
60,2021-07-30,"AMAZON.COM, INC.",2020-06-30,USD,10-Q,CY2020Q2,1018724,88912000000.0,52660000000.0,4345000000.0,1580000000.0,1580000000.0,,5843000000.0,135000000.0,403000000.0,13000000.0,378000000.0,984000000.0,5243000000.0,10.5,10.3,36252000000.0,6221000000.0
61,2020-10-30,"AMAZON.COM, INC.",2020-09-30,USD,10-Q,CY2020Q3,1018724,96145000000.0,57106000000.0,5434000000.0,1668000000.0,1668000000.0,,6194000000.0,118000000.0,428000000.0,112000000.0,615000000.0,569000000.0,6331000000.0,12.63,12.37,39039000000.0,6809000000.0
62,2021-02-03,"AMAZON.COM, INC.",2020-12-31,USD,10-K,CY2020,1018724,386064000000.0,233307000000.0,22008000000.0,6668000000.0,6668000000.0,509000000.0,22899000000.0,555000000.0,1647000000.0,35000000.0,1279000000.0,2863000000.0,21331000000.0,2.13,2.09,152757000000.0,24178000000.0
