,filed,company_name,end,unit,form,frame,cik,Assets - Cash and Cash Equivalents,Assets - Short-term Investments,"Assets - Accounts Receivable, Net (Current)","Assets - Accounts Receivable, Net (Non-current)",Assets - Inventory,Assets - Other Current Assets,Assets - Total Current Assets,"Assets - Property, Plant and Equipment, Net",Assets - Goodwill,"Assets - Intangible Assets, Net",Assets - Other Long-term Assets,Assets - Total Assets,Liabilities - Accounts Payable,Liabilities - Current Portion of Long-term Debt,Liabilities - Other Current Liabilities,Liabilities - Total Current Liabilities,Liabilities - Long-term Debt,Liabilities - Operating Lease Liabilities (Non-current),Liabilities - Other Long-term Liabilities,Liabilities - Total Liabilities,Equity - Common Stock and Paid-in Capital,Equity - Retained Earnings,Equity - Accumulated Other Comprehensive Income,Equity - Total Stockholders Equity,Equity - Total Liabilities and Equity,Validation - Current Assets Difference,Validation - Current Liabilities Difference,Validation - A = L+E Difference,Validation - Components = Total L+E Difference
52,2019-08-01,MICROSOFT CORPORATION,2017-09-30,USD,10-K,CY2017Q3,789019,6884000000.0,,14561000000.0,1600000000.0,3211000000.0,4788000000.0,161031000000.0,24809000000.0,35389000000.0,9598000000.0,6083000000.0,249097000000.0,6866000000.0,1050000000.0,7520000000.0,51615000000.0,76255000000.0,5768000000.0,4229000000.0,159450000000.0,69419000000.0,19702000000.0,526000000.0,89647000000.0,249097000000.0,141682000000.0,43045000000.0,0.0,0.0
53,2019-08-01,MICROSOFT CORPORATION,2017-12-31,USD,10-K,CY2017Q4,789019,12859000000.0,,18428000000.0,1600000000.0,2003000000.0,4422000000.0,167633000000.0,26304000000.0,35355000000.0,9034000000.0,6967000000.0,256003000000.0,7850000000.0,3446000000.0,7787000000.0,58099000000.0,73348000000.0,5640000000.0,4820000000.0,177643000000.0,70192000000.0,8567000000.0,-399000000.0,78360000000.0,256003000000.0,144783000000.0,46866000000.0,0.0,0.0
54,2019-08-01,MICROSOFT CORPORATION,2018-03-31,USD,10-K,CY2018Q1,789019,9221000000.0,,17208000000.0,1600000000.0,2084000000.0,5097000000.0,156659000000.0,27929000000.0,35582000000.0,8544000000.0,7106000000.0,245497000000.0,7623000000.0,3447000000.0,7500000000.0,46133000000.0,73480000000.0,5751000000.0,5223000000.0,166258000000.0,70418000000.0,9974000000.0,-1153000000.0,79239000000.0,245497000000.0,134354000000.0,35186000000.0,0.0,0.0
57,2020-07-31,MICROSOFT CORPORATION,2018-09-30,USD,10-K,CY2018Q3,789019,15137000000.0,120743000000.0,17390000000.0,1800000000.0,3614000000.0,7311000000.0,164195000000.0,31430000000.0,35855000000.0,7579000000.0,9792000000.0,257619000000.0,8511000000.0,6497000000.0,7953000000.0,56277000000.0,69733000000.0,5652000000.0,5539000000.0,171652000000.0,71303000000.0,17279000000.0,-2615000000.0,85967000000.0,257619000000.0,139494000000.0,41827000000.0,0.0,0.0
58,2020-07-31,MICROSOFT CORPORATION,2018-12-31,USD,10-K,CY2018Q4,789019,6638000000.0,121024000000.0,19680000000.0,1900000000.0,1961000000.0,7571000000.0,156874000000.0,32717000000.0,41577000000.0,8482000000.0,10129000000.0,258859000000.0,7563000000.0,3516000000.0,8297000000.0,50318000000.0,69653000000.0,5683000000.0,6055000000.0,166731000000.0,77556000000.0,16585000000.0,-2013000000.0,92128000000.0,258859000000.0,129623000000.0,38505000000.0,0.0,0.0
59,2020-07-31,MICROSOFT CORPORATION,2019-03-31,USD,10-K,CY2019Q1,789019,11212000000.0,120406000000.0,19269000000.0,2000000000.0,1951000000.0,7049000000.0,159887000000.0,33648000000.0,41861000000.0,8103000000.0,10258000000.0,263281000000.0,7544000000.0,6515000000.0,7837000000.0,53861000000.0,66585000000.0,5972000000.0,6763000000.0,168417000000.0,77791000000.0,18338000000.0,-1265000000.0,94864000000.0,263281000000.0,133569000000.0,39509000000.0,0.0,0.0
61,2019-08-01,MICROSOFT CORPORATION,2019-06-30,USD,10-K,CY2019,789019,11356000000.0,122463000000.0,29524000000.0,2200000000.0,2063000000.0,10146000000.0,175552000000.0,36477000000.0,42026000000.0,7750000000.0,14723000000.0,286556000000.0,9382000000.0,5516000000.0,9351000000.0,69420000000.0,66662000000.0,6188000000.0,7581000000.0,184226000000.0,78520000000.0,24150000000.0,-340000000.0,102330000000.0,286556000000.0,135882000000.0,54553000000.0,0.0,0.0
62,2021-07-29,MICROSOFT CORPORATION,2019-09-30,USD,10-K,CY2019Q3,789019,13117000000.0,123519000000.0,19087000000.0,2300000000.0,2622000000.0,7551000000.0,165896000000.0,38409000000.0,42113000000.0,7508000000.0,14455000000.0,278955000000.0,8574000000.0,3017000000.0,8507000000.0,58118000000.0,66478000000.0,6659000000.0,8826000000.0,172894000000.0,78882000000.0,27240000000.0,-61000000.0,106061000000.0,278955000000.0,139258000000.0,46594000000.0,0.0,0.0
63,2021-07-29,MICROSOFT CORPORATION,2019-12-31,USD,10-K,CY2019Q4,789019,8864000000.0,125389000000.0,23525000000.0,2400000000.0,1823000000.0,7473000000.0,167074000000.0,40522000000.0,42248000000.0,7126000000.0,14630000000.0,282794000000.0,8811000000.0,6247000000.0,9131000000.0,59640000000.0,63361000000.0,7172000000.0,9658000000.0,172685000000.0,79625000000.0,30739000000.0,-255000000.0,110109000000.0,282794000000.0,136076000000.0,44262000000.0,0.0,0.0
64,2021-07-29,MICROSOFT CORPORATION,2020-03-31,USD,10-K,CY2020Q1,789019,11710000000.0,125916000000.0,22699000000.0,2500000000.0,1644000000.0,8536000000.0,170505000000.0,41221000000.0,42064000000.0,6855000000.0,13696000000.0,285449000000.0,9246000000.0,3748000000.0,9151000000.0,58707000000.0,62862000000.0,7248000000.0,9673000000.0,170948000000.0,79813000000.0,32012000000.0,2676000000.0,114501000000.0,285449000000.0,139270000000.0,45808000000.0,0.0,0.0
66,2020-07-31,MICROSOFT CORPORATION,2020-06-30,USD,10-K,CY2020,789019,13576000000.0,122951000000.0,32011000000.0,2700000000.0,1895000000.0,11482000000.0,181915000000.0,44151000000.0,43351000000.0,7038000000.0,13138000000.0,301311000000.0,12530000000.0,3749000000.0,10027000000.0,72310000000.0,59578000000.0,7671000000.0,10632000000.0,183007000000.0,80552000000.0,34566000000.0,3186000000.0,118304000000.0,301311000000.0,138422000000.0,58534000000.0,0.0,0.0
67,2022-07-28,MICROSOFT CORPORATION,2020-09-30,USD,10-K,CY2020Q3,789019,17205000000.0,120772000000.0,22851000000.0,2700000000.0,2705000000.0,13544000000.0,177077000000.0,47927000000.0,43890000000.0,6923000000.0,13034000000.0,301001000000.0,12509000000.0,6497000000.0,9476000000.0,70056000000.0,57055000000.0,7753000000.0,11525000000.0,177609000000.0,81089000000.0,39193000000.0,3110000000.0,123392000000.0,301001000000.0,140682000000.0,54083000000.0,0.0,0.0
68,2022-07-28,MICROSOFT CORPORATION,2020-12-31,USD,10-K,CY2020Q4,789019,14432000000.0,117536000000.0,27312000000.0,2900000000.0,1924000000.0,12769000000.0,173973000000.0,51737000000.0,44219000000.0,6555000000.0,13561000000.0,304137000000.0,12770000000.0,5387000000.0,10527000000.0,67486000000.0,55136000000.0,8875000000.0,12544000000.0,173901000000.0,81896000000.0,44973000000.0,3367000000.0,130236000000.0,304137000000.0,133892000000.0,51572000000.0,0.0,0.0
69,2022-07-28,MICROSOFT CORPORATION,2021-03-31,USD,10-K,CY2021Q1,789019,13702000000.0,111705000000.0,26322000000.0,2800000000.0,2245000000.0,11640000000.0,165614000000.0,54945000000.0,49698000000.0,8127000000.0,14427000000.0,308879000000.0,13412000000.0,8051000000.0,10450000000.0,72193000000.0,50007000000.0,9272000000.0,12941000000.0,174374000000.0,82308000000.0,50735000000.0,1462000000.0,134505000000.0,308879000000.0,127652000000.0,53692000000.0,0.0,0.0
