,count
I,503
US,150
AI,138
S,114
U,108
A,98
NVDA,59
P,57
CEO,52
B,50
M,49
AMD,40
PLTR,38
K,34
IRA,32
E,31
EPS,30
ETF,27
Y,26
X,24
VIDIA,21
VOO,21
INTC,20
MSFT,19
EV,18
BABA,18
D,17
SPY,17
META,17
TSLA,17
EU,17
LSEG,16
ASDAQ,15
SMCI,14
DD,14
T,13
PE,13
HYSA,13
BYD,13
TSMC,13
Q,12
USD,12
AMZN,11
C,11
SEC,11
GDP,11
CNBC,11
NOT,10
RDDT,10
TLDR,10
CPI,10
HIMS,10
TSM,9
WSJ,9
USA,9
RKLB,9
FDA,9
GOOGL,9
UK,9
EDIT,9
GOOG,9
IPO,9
DCA,8
BITDA,8
DOGE,8
F,8
GAAP,8
YTD,8
AWS,7
NVO,7
AAPL,7
QCOM,7
GPT,7
ASTS,7
YOLO,7
CFO,7
GM,7
G,6
QQQ,6
API,6
GPU,6
PR,6
TD,6
DR,6
MSCI,6
DTE,6
TV,6
JD,6
AST,5
EOY,5
XXXXX,5
FAQ,5
VXUS,5
DJT,5
IBM,5
COVID,5
APY,5
FCF,5
ER,5
FXI,5
MM,5
DCF,5
CHIPS,5
ROTH,5
XM,5
BIDU,5
UBER,5
MCD,5
LYFT,5
TTM,5
AVGO,5
BP,5
DAX,5
XOM,4
PM,4
CAGR,4
CVX,4
FSD,4
NEW,4
II,4
CVNA,4
FTSE,4
CROX,4
FY,4
HUGE,4
IVV,4
UNH,4
ACHR,4
PDD,4
V,4
QBTS,4
IMO,4
NASA,4
IOVA,4
SE,4
LUNR,4
TXN,4
CSCO,4
CD,4
PCE,4
FDIC,4
JP,4
GSAT,4
HSA,4
SGOV,4
NYSE,4
EBIT,3
ABBV,3
JNJ,3
TSX,3
ASML,3
OK,3
MRNA,3
NINGS,3
AGI,3
BA,3
NU,3
SCHD,3
VTI,3
RIVN,3
AFTER,3
O,3
FUD,3
AP,3
DEI,3
MA,3
PFE,3
BAE,3
RHM,3
IRR,3
AM,3
PSX,3
NATO,3
TTWO,3
OS,3
